de_text,en_grtr,tr_llm,tr_llm_comet_score,tr_llm_chrF_score,tr_llm_glsr,tr_llm_glsr_comet_score,tr_llm_glsr_chrF_score
"Darüber hinaus sind bei Exporten u.a. die Regelungen des Außenwirtschaftsgesetzes zu beachten, um auf Seiten der Universität Bonn eine höchstmögliche Compliance in diesem Bereich sicherzustellen und damit auch Bußgelder und – insbesondere im Falle von Verstößen gegen das Außenwirtschaftsgesetz - Haftstrafen zu vermeiden.","Among other things, the provisions of the Foreign Trade Act must also be complied with when exporting in order to ensure maximum compliance in this area on the part of the University of Bonn and thus to avoid fines and—particularly in the event of breaches of the abovementioned act—prison sentences.","Furthermore, when exporting, among other things, the regulations of the Foreign Trade Act must be observed in order to ensure the highest possible compliance on the part of the University of Bonn in this area and thereby avoid fines and—especially in the case of violations of the Foreign Trade Act—imprisonment.",0.8362,61.0,"Furthermore, for exports the regulations of the Foreign Trade Act must be observed in order to ensure the highest possible compliance at the University of Bonn in this Team and thereby avoid fines and – In particular, it – avoid criminal penalties for violations of the Foreign Trade Act.",0.707,48.65
Regelungsgegenstand sind insbesondere die Zuständigkeiten bei Ein- und Ausfuhrsachverhalten sowie die Pflichten der Beschäftigten der Universität Bonn in diesem Zusammenhang.,"In particular, these provisions cover responsibilities for imports and exports and the obligations of University staff in this regard.","The subject of the regulation is, in particular, the responsibilities concerning import and export matters as well as the duties of the employees of the University of Bonn in this context.",0.8229,48.95,"In particular, it covers the responsibilities for import and export matters as well as the duties of the employees at the University of Bonn in this context.",0.8403,53.39
"Gleiches gilt sinngemäß für den Technologietransfer, die technische Unterstützung, Sanktionen und Embargos.","The same principles and rules apply to technology transfer, technical support, sanctions and embargoes.","The same applies, in essence, to technology transfer, technical assistance, sanctions and embargoes.",0.8789,65.24,"This also applies, in principle, to technology-transfer, technical support, sanctions and embargoes.",0.8756,74.47
"Die Zuständigkeit liegt im Dezernat 5, Abteilung 5.3 Sachgebiet Zoll (im Nachfolgenden Sachgebiet Zoll genannt).","Responsibility lies with Finances (Division 5), specifically with the Customs Unit in Section 5.3 (referred to simply as the “Customs Unit” below).","The responsibility lies with Department 5, Division 5.3 Customs (hereinafter referred to as Customs).",0.7986,42.08,"The responsibility lies with Department 5, Section 5.3, Customs Unit (hereinafter referred to as the Customs Unit).",0.818,50.21
Grundsätzlich wenden Sie sich bitte zunächst für alle Fragen in diesem Bereich an das Sachgebiet Zoll.,The Customs Unit should always be your first port of call for any questions on the topic.,"In principle, please initially direct all questions in this area to the Customs Department.",0.7879,29.4,"In principle, please first address all questions in this Team to the customs Unit.",0.6439,32.78
Unter Import versteht man das Versand (Transport) von Waren aus dem Drittland in das Gemeinschaftsgebiet der EU.,Import is understood to mean the shipping (transportation) of goods from a third country into EU Community territory.,Import is defined as the shipping (transport) of goods from a third country into the EU’s community territory.,0.9055,70.95,Import is the shipping (transport) of goods from a third-country into the EU’s community territory.,0.8823,68.26
Export bezeichnet den Warenversand von der Europäischen Union in ein Drittland.,Export means shipping goods from the European Union to a third country.,Export refers to the shipment of goods from the European Union to a third country.,0.9195,75.07,Export means shipping goods from the European Union to a third country.,0.9698,100.0
"Eine Proforma-Invoice ist eine Rechnung, die bei jedem Import/Export an der Außenseite des Paketes anzubringen ist.",A pro forma invoice is an invoice that is required to be attached to the outside of any package for import or export.,A proforma invoice is an invoice that must be attached to the outside of the package for every import/export.,0.8999,72.88,A Pro forma invoice is the invoice that must be affixed to the outside of the package for every import or export.,0.8905,63.78
"Dieser Beleg dient dazu, dem Empfänger und den zuständigen Behörden des Einfuhrlandes die genauen Einzelheiten der zu erwartenden Warenlieferungen mitzuteilen.",The purpose of this document is to inform the recipient and the competent authorities in the importing country of the precise details concerning the pending goods deliveries.,This document serves to inform the recipient and the relevant authorities of the importing country of the exact details of the expected goods deliveries.,0.8854,63.05,This document serves to inform the recipient and the competent authorities of the importing country about the exact details of the expected goods deliveries.,0.8908,67.03
"Bitte beachten Sie, dass die Proforma Invoice immer den tatsächlichen Warenwert und nicht den gezahlten Wert beinhaltet.",Note that a pro forma invoice will always show the actual value of the goods rather than the amount paid for them.,"Please note that the proforma invoice always includes the actual value of the goods, not the amount paid.",0.9013,61.4,"Please note that the proforma invoice always reflects the actual value of the goods, not the amount paid.",0.9054,61.95
"Als Drittland bezeichnet man die Gebiete, die außerhalb der Europäischen Union liegen und nicht zum Zollgebiet der Gemeinschaft gehören.",A third country is a territory that lies outside the European Union and outside its Customs Union.,A third country refers to territories that are outside the European Union and do not belong to the Community's customs area.,0.8651,58.48,A third-country refers to territories that lie outside the European Union and are not part of the Community’s customs area.,0.8656,57.67
"Hierzu zählen zum Beispiel die Schweiz, Norwegen, die Türkei, die USA, Kanada u.v.m.","Switzerland, Norway, Turkey, the US and Canada are third countries, among many others.","This includes, for example, Switzerland, Norway, Turkey, the USA, Canada, etc.",0.8459,51.41,"Examples such as Switzerland, Norway, Turkey, the United States, Canada, etc.",0.7991,50.12
(Admission Temporaire) können Nichtgemeinschaftswaren in das Zollgebiet der Gemeinschaft vorübergehend abgabenfreien ein- und wieder ausgeführt werden (oder umgekehrt).,(admission temporaire) is a document that allows non-Community goods to be temporarily imported into and then exported from Customs Union territory (or vice versa) duty free.,(Admission Temporaire) non‑Community goods can be temporarily imported into and re‑exported from the Community customs territory duty‑free (or vice versa).,0.8369,60.98,(Temporary admission) non‑Community goods may be temporarily imported into the Community customs territory duty‑free and re‑exported (or vice versa).,0.8204,55.67
Innerhalb der EU darf ein Carnet nur für Gemeinschaftswaren ausgestellt werden.,A Carnet may only be issued within the EU for Community goods.,"Within the EU, a carnet may only be issued for community goods.",0.9016,76.65,A Carnet may only be issued within the EU for Community goods.,0.9675,100.0
"Es ist ein Zollpassierschein speziell für die vorübergehende Verwendung von Waren im internationalen Handel und in internationaler kultureller Tätigkeit (wie z.B. Messe- und Ausstellungsgüter, Berufsausrüstung oder Waren zu wissenschaftlichen und kulturellen Zwecken).","It is a customs permit issued specifically for the temporary use of goods in international trade and international cultural activities (such as trade fairs and exhibition goods, professional equipment and goods for scientific and cultural purposes).","It is a customs transit document specifically for the temporary use of goods in international trade and in international cultural activities (such as trade fair and exhibition goods, professional equipment, or goods for scientific and cultural purposes).",0.897,89.07,"It is a customs transit document specifically for the temporary use of goods in international trade and in international cultural activities (such as fair and exhibition goods, professional equipment, or goods for scientific and cultural purposes).",0.8961,86.64
"Güter mit doppeltem Verwendungszweck, deren Verwendung sowohl im militärischen als auch zivilen Bereich möglich ist.",Dual-use goods are goods that can be put to both military and civilian use.,"Goods with a dual purpose, whose use is possible in both the military and civilian sectors.",0.8637,42.01,"Goods with a dual purpose, whose use has potential in both the military and civilian teams.",0.8254,42.0
Ab einem Warenwert von 6.000 Euro ist das Dokument zwingend vorgeschrieben (Ausnahme: Bewilligung durch Zoll als Ermächtigter Ausführer).,"This document is mandatory for goods worth at least €6,000 unless they are being exported by an authorized exporter licensed by German Customs.","For a goods value of €6,000, the document is mandatory (exception: approval by customs as an authorized exporter).",0.7364,43.62,"For a goods value of €6,000 or more, the Document is mandatory (Exception: Approval by customs as an authorized exporter).",0.7239,43.01
Bis zu einem Warenwert von 6.000 Euro muss eine Ursprungserklärung auf der Rechnung des Lieferanten aufgeführt werden.,"Goods worth less than €6,000 require a declaration of origin to be listed on the supplier’s invoice.","For a goods value of up to €6,000, a declaration of origin must be included on the supplier’s invoice.",0.872,59.05,"To a goods value of €6,000, a country of origin declaration must be listed on the invoice of the Suppliers.",0.7579,50.65
"Der Vordruck EUR.1 ist der Zollstelle ausgefüllt einzureichen, wenn es sich bei den beschriebenen Produkten um Ursprungswaren der  Europäischen Gemeinschaft handelt und die weiteren Voraussetzungen der Protokolle mit den jeweiligen Ländern erfüllt sind.",A EUR1 form must be completed and submitted to the customs office if the products described are goods of European Community origin and the other requirements are met under the protocols agreed with the respective countries.,The EUR.1 form must be submitted to the customs office completed if the described products are originating goods of the European Community and the additional requirements of the protocols with the respective countries are met.,0.8347,72.06,The EUR.1 form must be filled out and submitted to the customs office when the described products are originating goods of the European Community and this requires the further minutes with the respective countries to be met.,0.7431,63.01
Nachweispapiere können u. a. Lieferantenerklärung sein.,"based on the supplier’s declaration, for example.","Proof documents can, among other things, be a supplier declaration.",0.7984,42.15,"Proof documents can, for example, be based on the supplier’s declaration.",0.893,85.23
Das EUR.1-Dokument muss innerhalb von 4 Monaten nach der Ausstellung bei der Zollbehörde des Einfuhrstaates vorliegen.,EUR1 documents must be filed with the customs authorities in the country of import within four months of being issued.,The EUR.1 document must be on file with the customs authority of the importing country within four months of its issuance.,0.8609,63.69,The EUR.1 Document must be with the customs authority of the importing country within four months of its issuance.,0.8398,60.86
"Auf der Rückseite des EUR.1-Formulares erklärt der Exporteur, dass die Waren die Voraussetzungen für die Erlangung des EUR.1 erfüllen.",The exporter is required to state on the back of the EUR1 form that the goods meet the criteria for EUR1 approval.,"On the back of the EUR.1 form, the exporter declares that the goods meet the requirements for obtaining the EUR.1.",0.8273,55.24,"On the back of the EUR.1 form, the exporter declares that the goods this requires for obtaining the EUR.1.",0.6833,51.07
Hier ist große Sorgfalt erforderlich und ggf. vorher Rücksprache mit der Zollstelle zu führen.,"This must be done with great care, consulting the customs office beforehand if necessary.","Great care is required here, and if necessary, prior consultation with the customs office should be undertaken.",0.8786,53.51,"Great care is required here, and if necessary, prior consultation with the customs office should be undertaken.",0.8786,53.51
Bei einer Zollprüfung müssen dem Zollprüfer die EUR1-Dokumente im Original vorgezeigt werden.,The original EUR1 documents must be presented to the customs inspector during a customs inspection.,"During a customs inspection, the original EUR1 documents must be shown to the customs examiner.",0.8969,71.84,"During a customs inspection, the original EUR1 documents must be presented to the customs officer.",0.9081,83.95
Das EUR1 ist immer an der Warensendung angebracht.,The EUR1 document is always attached to the shipment.,The EUR1 is always attached to the goods shipment.,0.8781,70.77,The EUR1 document is always attached to the shipment.,0.9668,100.0
"Die Hochschuleinrichtungen müssen das EUR1 im Original umgehend nach Erhalt an die Abt.5.3, Zoll weiterleiten.","Departments, institutions and units at the University are required to forward original EUR1 documents to the Customs Unit in Section 5.3 as soon as they receive them.","The higher education institutions must forward the original EUR1 immediately upon receipt to Department 5.3, Customs.",0.726,38.13,"The university facilities must forward the original EUR1 immediately upon receipt to Department 5.3, Customs.",0.7243,34.54
Die EORI-Nummer ist der Nachfolger der Zollnummer auf EU-Ebene.,EORI numbers have replaced customs numbers at EU level.,The EORI number is the successor to the customs number at the EU level.,0.8598,54.07,EORI numbers have replaced customs numbers at EU level.,0.9726,100.0
Sie dient der Identifizierung von Wirtschaftsbeteiligten und soll die automatisierte Zollabfertigung erleichtern.,They are used to identify economic operators and are designed to make the automated customs clearance process easier.,It serves to identify economic participants and is intended to facilitate automated customs clearance.,0.887,49.27,It serves to identify economic operators and to facilitate automated customs clearance.,0.8894,58.48
Ohne gültige EORI-Nummer sind zollrechtliche Handlungen in der EU grundsätzlich nicht mehr möglich.,No more customs-related activities can be carried out in the EU without an EORI number as a basic principle.,"Without a valid EORI number, customs actions in the EU are generally no longer possible.",0.82,34.02,"Without a valid EORI number, customs actions in the EU basically have no Potential any longer.",0.7744,35.18
Die Nutzung der EORI Nummer der Universität obliegt dem Sachgebiet Zoll.,The Customs Unit is responsible for the use of the University’s EORI number.,The use of the university’s EORI number is the responsibility of the customs department.,0.8648,62.36,The use of the University’s EORI number is the responsibility of the customs Unit.,0.8802,73.82
Diese darf auch bei Kenntnis nicht eigenmächtig ohne Rücksprache mit dem Sachgebiet Zoll verwendet werden.,"Even if you know what it is, you may not use it independently without consulting the Customs Unit.","Even if known, this may not be used unilaterally without consulting the customs department.",0.8132,48.15,"Even if known, this may not be used independently without consulting the Customs Unit.",0.8381,68.91
"Alle Waren, die ausgeführt oder importiert werden, müssen eine Warentarifnummer korrekt zugeordnet werden; ohne Warentarifnummer ist eine Ausfuhr oder ein Import nicht möglich.","All goods to be exported or imported must be correctly assigned a customs tariff number, without which they cannot be exported/imported.","All goods that are exported or imported must be correctly assigned a customs tariff number; without a tariff number, export or import is not possible.",0.8863,70.7,"All goods that are exported or imported must be correctly assigned a customs tariff number; without a customs tariff number, an export or an import lacks Potential.",0.8202,69.55
Warentarifnummern dienen der eindeutigen Identifikation von Warenströmen und sind in der Außenhandelsstatistik erfasst.,Customs tariff numbers help to provide unique identification for flows of goods and are recorded in foreign trade statistics.,Commodity tariff numbers are used for the unique identification of commodity flows and are recorded in foreign trade statistics.,0.8705,69.91,Commodity codes uniquely identify commodity flows and are recorded in foreign trade statistics.,0.8399,51.47
Sie sind innerhalb der WTO-Staaten (Welthandelsorganisation) – also nahezu weltweit – gültig.,and are valid in any World Trade Organization (WTO) member state—i.e. virtually across the globe.,They are valid within the WTO member states (World Trade Organization) – thus almost worldwide.,0.8577,49.81,They are valid within the WTO member states (World Trade Organization) – essentially worldwide.,0.8674,50.72
"Für den Export sind sie achtstellig, für den Import elfstellig.",Customs tariff numbers have eight digits for exports and eleven for imports.,"For export they are eight digits, for import eleven digits.",0.7716,45.78,Customs tariff numbers have eight digits for exports and eleven for imports.,0.9513,100.0
Aufgrund dieser eindeutigen Codierung können Produkte und Waren in jedem Land von der Zollbehörde eindeutig zugeordnet und steuerlich erfasst werden.,This unique code enables goods and products to be clearly assigned and recorded for tax purposes by the customs authorities in any country.,"Because of this clear coding, products and goods can be uniquely identified and recorded for tax purposes by customs authorities in any country.",0.8897,65.87,"Thanks to this clear coding, customs authorities in any country can uniquely identify and tax products and goods.",0.8418,47.17
"Klicken Sie auf ""Zur Einfuhr"" oder auf ""Zur Ausfuhr"".",Click on “Zur Einfuhr” (“For Import”) or “Zur Ausfuhr” (“For Export”).,Click on “Import” or on “Export”.,0.7376,30.26,Click on “Zur Einfuhr” (“For Import”) or “Zur Ausfuhr” (“For Export”).,0.9696,100.0
"Unter dem Reiter ""Einreihung"" finden Sie das Stichwortverzeichnis.",You will find the list of keywords under the “Einreihung” (“Classification”) tab.,Under the “Einreihung” tab you will find the index.,0.8089,46.47,You will find the list of keywords under the “Einreihung” (“Classification”) tab.,0.9559,100.0
"Bitte achten Sie unbedingt darauf, das Referenzdatum Ihrer Abfrage zu aktualisieren und fügen Sie vor und hinter dem eingegebenen Begriff ein % Zeichen an.",Please make sure that you update the reference date of your query and type “%” before and after the keyword that you enter.,Please make sure to update the reference date of your query and add a % sign before and after the entered term.,0.8186,67.34,Please be sure to update the reference date of your query and add a % sign before and after the entered term.,0.8136,62.02
"Klicken Sie sich bitte soweit durch die Kategorien, so dass am Ende 11 Stellen angezeigt werden.",Click through the categories until you see eleven digits.,Please click through the categories until 11 items are displayed.,0.7523,61.25,Please click through the categories until 11 items are displayed.,0.7523,61.25
"Klicken Sie sich bitte soweit durch die Kategorien, so dass am Ende 8 Stellen angezeigt werden.",Click through the categories until you see eight digits.,Please click through the categories until 8 items are displayed.,0.738,61.19,Please click through the categories until eight items are displayed.,0.7612,64.95
Eine Verbindliche Zolltarifauskunft (vZTA) kann durch das Sachgebiet Zoll beim Hauptzollamt Hannover über das BUG-Portal beantragt werden.,"The Customs Unit can request binding customs tariff information (Verbindliche Zolltarifauskunft, or vZTA) from the central customs office in Hanover via the BuG portal.",A binding customs tariff decision (vZTA) can be requested from the customs division at the Hanover main customs office via the BUG portal.,0.7709,48.19,A binding customs tariff decision (vZTA) can be applied for through the Customs Unit at the Hanover Main Customs Office via the BUG portal.,0.734,43.92
Der Entscheidungszeitraum kann bis zu 6 Monate betragen.,Decisions can take up to six months to be made.,The decision period can be up to 6 months.,0.8963,36.4,Decisions can take up to six months to be made.,0.9765,100.0
"Wird bei der Abfertigung eine vZTA vorgelegt, steht die Tarifierung der Ware fest, die Abfertigung kann ohne aufwändiges Ermitteln der Codenummer im Elektronischen Zolltarif (EZT) zügig von statten gehen.",Presenting a vZTA at customs clearance means that the tariff applicable to the goods is known for definite. Clearance can thus be granted swiftly without the laborious process of finding the number in the EZT system.,"If a vZTA is presented during clearance, the tariff classification of the goods is fixed, and the clearance can proceed quickly without the laborious determination of the code number in the Electronic Customs Tariff (EZT).",0.8002,48.26,"If a vZTA is presented during clearance, the tariff classification of the goods is established, and the clearance can proceed quickly without the time‑consuming determination of the code number in the Electronic Customs Tariff (EZT).",0.7985,45.64
Auf der Grundlage der festgelegten Codenummer kann der Beteiligte bereits vor der Abfertigung der Ware die entstehenden Kosten berechnen und die notwendigen Papiere rechtzeitig beschaffen.,Knowing the definite code number enables the importer/exporter to calculate their costs even before the goods pass through clearance and obtain the necessary documentation in good time.,"Based on the established code number, the participant can already calculate the incurred costs and obtain the necessary paperwork in time before the goods are cleared.",0.7494,45.19,"Based on the assigned code number, the party involved can calculate the resulting Costs before the goods are cleared and procure the necessary documents in time.",0.7378,44.88
Bei der Abfertigung der entsprechenden Ware ist auf die erteilte vZTA hinzuweisen.,Reference to the vZTA that has been granted must be made when the goods in question are cleared.,"When handling the relevant goods, the issued vZTA must be referenced.",0.7743,30.49,"When handling the relevant goods, the issued vZTA must be referenced.",0.7743,30.49
Der Anmelder hat damit ein Recht auf Anwendung der festgelegten Codenummer und zwar in der gesamten EU.,The applicant will then be entitled to use the code number thus established—and do so throughout the EU.,The applicant thus has a right to use the designated code number throughout the entire EU.,0.9023,52.63,The applicant therefore has the right to use the designated code number throughout the EU.,0.8956,51.94
"Er muss der Zollstelle allerdings - z.B. anhand von Artikelnummern - nachweisen, dass es sich bei der gestellten auch tatsächlich um die in der vZTA beschriebene Ware handelt.","However, they will still need to prove to the customs office, e.g. by referencing item numbers, that the goods to be transported are actually the same as those specified in the vZTA.","However, he must prove to the customs office—e.g., by means of article numbers—that the goods presented are indeed the goods described in the vZTA.",0.8167,46.84,"He must, however, demonstrate to the customs office—e.g., using article numbers—that the items presented are indeed the goods described in the vZTA.",0.822,44.19
Dies kann die Zollstelle auch durch eine Probenentnahme und ein darauf beruhendes Einreihungsgutachten bestätigen lassen.,The customs office may also obtain confirmation of this for itself by taking a random sample and using it as the basis for a classification assessment.,The customs office can also have this confirmed by taking a sample and a classification report based on it.,0.8317,45.0,The customs office can also have this confirmed by taking a sample and a classification report based on it.,0.8317,45.0
Eine Spedition hat Ihnen eine Abfertigungsanweisung/Zollvollmacht zugesendet.,A freight forwarder has sent you a clearance instruction or customs authorization.,A freight forwarder has sent you a clearance instruction/customs power of attorney.,0.7918,75.52,A freight forwarder has sent you a clearance instruction or customs authorization.,0.9457,100.0
"Eine Abfertigungsanweisung/Zollvollmacht beschreibt die Anweisung an eine Spedition, wie die zu importierenden Waren beim Zoll abgefertigt werden müssen (z.B. Abfertigung zum freien Warenverkehr, vorübergehende Einfuhr etc.).",A clearance instruction or customs authorization tells a freight forwarder how the goods to be imported need to be cleared through customs (e.g. clearance for free movement or temporary import).,"A clearance instruction/customs power of attorney describes the directive to a freight forwarder on how the goods to be imported must be processed through customs (e.g., clearance for free circulation, temporary import, etc.).",0.8743,67.2,"A clearance instruction/customs authorization outlines the directive to a freight forwarder on how the goods to be imported must be cleared through customs (e.g., clearance for free circulation, temporary import, etc.).",0.8955,76.6
"Diese Abfertigungen/Vollmachten dürfen nur durch die Abt. 5.3 Zoll erteilt werden, da hier eine Vollmacht im Namen der Universität Bonn erteilt wird.",These clearance instructions/authorizations may only be issued by the Customs Unit in Section 5.3 as they grant the authority to act on behalf of the University of Bonn.,"These clearances/powers of attorney may only be issued by Department 5.3 Zoll, because a power of attorney is being granted here on behalf of the University of Bonn.",0.7209,47.89,"These clearances/powers of attorney may only be issued by Department 5.3 Customs, because a power of attorney is granted here on behalf of the University of Bonn.",0.7444,50.32
"Werden im Rahmen von Auslandsprojekten in Drittländern Waren eingekauft, die nicht in die EU eingeführt werden sollen, so ist der Verbleib der Waren im Drittland entsprechend zu vermerken und dem Sachgebiet Zoll vor dem Kauf anzuzeigen.","If goods are purchased in a third country as part of a project abroad without the intention to import them into the EU, the fact that they are to remain in that third country must be noted accordingly and communicated to the Customs Unit before any purchase is made.","If goods are purchased in third countries as part of overseas projects that are not to be imported into the EU, the whereabouts of the goods in the third country must be recorded accordingly and reported to the customs department before the purchase.",0.8356,54.43,"When goods are purchased in third countries as part of overseas projects and are not intended for import into the EU, their location in the third country must be recorded accordingly and reported to the customs Unit before the purchase.",0.847,56.74
Dies muss direkt in der SRM/MM Bestellung geschehen und auf der Rechnung vermerkt werden.,This must be done in the SRM/MM purchase order itself and marked on the invoice.,This must be done directly in the SRM/MM order and noted on the invoice.,0.8793,59.21,This must be done directly in the SRM/MM purchase-order and recorded on The invoice.,0.8685,63.95
"Bei übergreifenden, grundsätzlichen Fragen zum Thema Zoll & Export, wenden Sie sich bitte an die Sachgebietsleitung.",Please contact the Head of Unit if you have any questions about customs or exports.,"For overarching, fundamental questions regarding customs and export, please contact the section head.",0.8078,45.42,"For overarching, fundamental questions on the topic of Customs and Exports, please contact the Head of Unit.",0.8063,55.66
Welche Geschäftsfälle sind betroffen und damit anzumelden?,What types of transaction are affected and thus need to be reported?,Which business cases are affected and therefore need to be reported?,0.8947,56.31,What types of transaction are affected and thus need to be reported?,0.9773,100.0
Was ist beim Import von Waren aus Drittländern zu beachten?,What do I need to bear in mind when importing goods from non-EU (“third”) countries?,What should be considered when importing goods from third countries?,0.8501,52.48,What should be considered when importing goods from third countries?,0.8501,52.48
Wie melde ich Importe korrekt an?,What’s the correct way to report imports?,How do I correctly report imports?,0.9263,52.15,What’s the correct way to report imports?,0.9755,100.0
Wir beraten und betreuen Sie bei der Abwicklung aller Warenlieferungen aus Drittländern und übernehmen für Sie die zollrechtliche Importabwicklung sowie die Kommunikation mit den Zollämtern.,We can give you advice on and support with handling all your deliveries of goods from third countries and will take care of customs clearance for your imports and communication with the customs authorities on your behalf.,"We advise and support you in handling all goods shipments from third countries, and we take care of the customs import procedures for you, as well as communication with the customs authorities.",0.8644,56.35,We advise and support you in the processing of all goods shipments from third countries and handle the customs‑related import processing as well as the communication with the customs authorities.,0.8504,50.31
Jede Bestellung von Waren aus Drittländern muss frühzeitig als Bestellung in SRM eingegeben und die Ihnen vorliegenden Unterlagen müssen im System angefügt werden.,"Any order of goods from third countries must be entered as a purchase order in SRM in good time, and the documents you have to hand must be added in the system.","Every order of goods from third countries must be entered early as an order in SRM, and the documents you have must be attached in the system.",0.845,71.44,"Every ordering of goods from third countries must be entered promptly as an order in SRM, and the documents you have must be attached in the system.",0.8485,70.05
Zusatzinformationen können Sie gerne im Textfeld von SRM vermerken.,You are welcome to put any additional information in the text box in SRM.,You can freely note additional information in the SRM text field.,0.815,52.66,Feel free to add any additional information in the SRM text field.,0.8815,55.71
"Bestellungen und die Erstattung von Warenkäufen aus Drittländern mit Kreditkarten, Privatauslagen und Geldmitteln aus Handkassen, die zu Lieferungen aus Drittländern führen, sind untersagt und dürfen nur über die Abteilung 5.3/Beschaffung durchgeführt werden.","Placing orders for and reimbursing the purchase of goods from third countries using credit cards, personal funds and money from petty cash boxes such that deliveries are made from third countries is prohibited and may only be done via Acquisitions in Section 5.3.","Orders and the reimbursement of purchases of goods from third countries with credit cards, private expenses, and cash funds from petty cash that result in deliveries from third countries are prohibited and may only be carried out through Department 5.3/Procurement.",0.7598,55.83,"Orders and the reimbursement of goods purchases from third countries using credit cards, private expenses, and cash from petty cash funds that result in deliveries from third countries are prohibited and may only be carried out through Section 5.3/Acquisitions.",0.8035,63.99
Die Beschaffungsstelle hält für unumgängliche Kreditkartenbestellungen im Drittland eine Mastercard vor.,Acquisitions holds a Mastercard for unavoidable credit card purchases in third countries.,The procurement office keeps a Mastercard on hand for unavoidable credit card orders in a third country.,0.7838,57.58,Acquisitions holds a Mastercard for unavoidable credit card purchases in third countries.,0.9237,100.0
Kauf von Waren im Drittland vor Ort und Einfuhr der Ware über ein Grenzzollamt (z.B. im Reisegepäck bei Auslandsprojekten und Exkursionen).,Goods are purchased locally in a third country and imported via a customs office at the border (e.g. in luggage during an international project or trip).,"Purchasing goods locally in a third country and importing them through a border customs office (e.g., in travel luggage for overseas projects and excursions).",0.8547,54.12,"Purchase of goods in the third-country on site and import of the goods via a border customs office (e.g., in travel luggage for overseas projects and excursions).",0.8204,44.02
Diese Waren aus Einfuhren in die EU sind am Flughafen (roter Ausgang) am Grenzzollamt zwingend anzumelden.,These goods imported into the EU must be declared at the airport (red lane at the exit) or the customs office at the border.,These goods imported into the EU must be declared at the airport (red exit) at the border customs office.,0.8819,79.48,These goods imported into the EU must be declared at the airport (red exit) at the border customs office.,0.8819,79.48
Eine Beantragung zur Zollbefreiung ist nur in begründeten Ausnahmefällen möglich und wird vom Sachgebiet Zoll genehmigt und bearbeitet.,Requests for duty-free status can only be made in justified exceptional cases and will be approved and processed by the Customs Unit.,A request for customs exemption is only possible in justified exceptional cases and is approved and processed by the customs department.,0.8668,59.47,An application for customs exemption is only Potential in justified exceptional cases and is approved and processed by the customs Unit.,0.8345,59.21
Die steuerfreie Wiedereinfuhr von Waren darf ausschließlich über das Sachgebiet Zoll beantragt werden.,Reimporting goods duty free may only be requested via the Customs Unit.,The tax‑free re‑import of goods may only be applied for through the customs department.,0.8676,36.41,The duty‑free re‑importation of goods may only be applied for through the customs unit.,0.8847,40.74
"Werden Waren nur zu Ausstellungszwecken und anderen vorübergehenden Zwecken eingeführt, um diese später wieder auszuführen, ist das nur über das Sachgebiet Zoll abzuwickeln.","If goods are to only be imported for exhibition and other temporary purposes with an intention to export them again, this can only be handled via the Customs Unit.","If goods are imported solely for exhibition purposes and other temporary purposes, with the intention of re-exporting them later, this must be handled only through the customs department.",0.8699,57.35,"If goods are imported solely for exhibition and other temporary purposes, with the intention of re‑exporting them later, this must be handled only regarding the customs Unit.",0.8147,63.57
Der zu zahlende Zollbetrag ergibt sich aus dem Zollwert der Ware und dem entsprechenden Zollsatz.,The amount of duty payable depends on the customs value of the goods and the corresponding duty rate.,The customs duty to be paid is based on the customs value of the goods and the corresponding duty rate.,0.8943,71.19,The customs duty payable is determined by the customs value of the goods and the applicable customs rate.,0.8921,55.0
Der Zollwert wird nach den allgemeinen zollwertrechtlichen Vorschriften ermittelt.,Customs values are calculated in accordance with the general provisions of customs law.,The customs value is determined according to the general customs valuation regulations.,0.8213,45.56,The customs value is determined according to the general customs value regulations.,0.8467,45.62
Die zu erhebenden Verbrauchsteuern errechnen sich grundsätzlich anhand der eingeführten Warenmenge und des entsprechenden Verbrauchsteuersatzes.,"As a basic principle, the amount of excise due is calculated based on the volume of goods being imported and the corresponding excise rate.",The excise taxes to be levied are generally calculated based on the quantity of goods imported and the applicable excise tax rate.,0.8462,45.67,The consumption taxes to be levied are generally calculated on the amount of goods imported and the applicable consumption tax rate.,0.7726,42.89
Bemessungsgrundlage für die Einfuhrumsatzsteuer ist der Zollwert zuzüglich des Zolls und bei verbrauchsteuerpflichtigen Waren auch zuzüglich der anfallenden Verbrauchsteuern.,"Import VAT is calculated based on the customs value plus the amount of duty and, for goods subject to excise, the amount of excise as well.","The assessment basis for import VAT is the customs value plus the customs duty, and for goods subject to excise tax also plus the applicable excise taxes.",0.8437,54.88,"The tax base for import VAT consists of the customs value plus the customs duty, and for goods subject to excise tax also includes the applicable excise taxes.",0.8446,53.46
"Der Einfuhrumsatzsteuersatz beträgt zurzeit 19 Prozent, für einige Waren, wie beispielsweise Lebensmittel oder Büchern, gilt ein ermäßigter Steuersatz von 7 Prozent.","Import VAT currently stands at 19 percent, with certain goods such as food and books attracting a lower rate of 7 percent.","The import VAT rate is currently 19 percent; for some goods, such as food or books, a reduced rate of 7 percent applies.",0.8961,47.53,"The import VAT rate is currently 19 percent; for certain goods, such as food or books, a reduced rate of 7 percent applies.",0.8956,53.69
