de,en,frequency
Zeiterfassung,time-recording,1
Personenmonat,person-month,1
Zuständigkeiten nach Geldgeberschlüsseln,Responsibilities by Source of Funds Code,1
Nutzen Sie gerne folgende Liste!,you are welcome to use this list.,1
Sie können die Liste einfach filtern!,The list is easy to filter.,1
Klicken Sie dazu auf das - Symbol bei den entsprechenden Überschriften.,Simply click on the symbol by the corresponding column heading.,1
Geldgeberschlüssel,Source of funds code,1
Alle,All,1
Alle außer 1,All except 1,1
Sachbearbeiter,Administrative assistant,1
Vertretung (mit Durchwahl),Deputy (with extension number),1
Bes. Kostenstellen,Specific cost centers,1
Sachgebiet,Unit,1
Internationales,International,1
Beschreibung,Description,1
Fakultät-von,Faculty from,1
Fakultät-bis,Faculty to,1
Geldgeber-Schlüssel,Source of funds code,1
Geldgeberunterscheidung,Differentiation between sources of funds,1
Umsatzsteuer,Sales tax,1
Finanzierungsquelle Bund-Code,Federal funding code,1
"Psp-Element, Geldgeber","wbs-element, source-of-funds",1
"D. h., ihnen steht weder das aktive noch das passive Wahlrecht zu.",meaning that they are not entitled to vote or stand for election.,1
Seniorprofessor*innen müssen nicht zwingend ihren Wohnsitz in Bonn haben.,Senior professors do not necessarily have to live in Bonn.,1
Es handelt sich um ein privatrechtliches Dienstverhältnis.,This is an employment relationship under private law.,1
Antrag vorg. Namensänd. u. Geschlechtseintrag-EN,Early name/gender change form,1
Nebentätigkeiten Angestellte,Secondary Employment for Salaried Employees,1
Für verbeamtetes Personal gibt es einen separaten Bereich.,There is a separate section for civil servants.,1
Tarifvertrag für den öffentlichen Dienst der Länder,TV-L (available in German only),1
Tarifvertrag für den öffentlichen Dienst der Länder,TV-L,1
Allgemeine Information zur Aufnahme einer Nebentätigkeit,General information on engaging in secondary employment,1
"Soweit Angestellte eine Nebentätigkeit ausüben, haben sie die nachfolgenden Regelungen zu beachten:",Employees performing secondary employment must obey the following rules:,1
Dies ist bei der zeitlichen Gestaltung der Nebentätigkeit zu beachten.,This must be borne in mind when scheduling any secondary employment.,1
Die Beendigung der Nebentätigkeit ist mitzuteilen.,They must declare when their secondary employment has ended.,1
Nebentätigkeit Anzeigen,Declaring secondary employment,1
TRA’s,TRAs,1
Math.-Nat. – Mathematik,Faculty of Mathematics and Natural Sciences—Mathematics,1
Bitte geben Sie hier ihre genaue Organisationseinheit an.,Please specify your exact organizational unit here.,1
E-Mail Adresse des*der Vorgesetzten,Email address of line manager,1
Auszubildende*r /Praktikant*in,Apprentice/intern,1
Wissenschaftliche*r Mitarbeiter*in,Research associate,1
beschäftigt als *,Employed as a *,1
SHK,Student assistant,1
WHK,Research assistant,1
WHF,Graduate student assistant,1
Tarifbeschäftiger,Member of staff employed under a collective bargaining agreement,1
einmalig,one-off,1
jährlich,every year,1
monatlich,every month,1
sonstiges,something else,1
täglich,every day,1
wöchentlich,every week,1
Euro monatl.,(in €/month),1
Arbeitsvertrag,Work contract,1
Freiberufliche Tätigkeit,Freelance,1
Selbstständigkeit,Self-employment,1
Sonstiges (Beratervertrag…),Something else (consultancy agreement or similar),1
"Guten Tag,","Hello,",1
Die dazugehörigen Daten finden Sie weiter unten in dieser E-Mail.,The relevant details are given below.,1
Vielen Dank!,Thank you!,1
Ihr Personalmanagement-Team,Human Resources,1
Für studentische und wissenschaftliche Hilfskräfte,For student and research assistants,1
Eingangsbestätigung einer Nebentätigkeit,Confirmation of receipt of a secondary employment declaration,1
Bitte beachten Sie hierbei die Einhaltung der Fristen zu Anzeige einer Nebentätigkeit.,provided you declared it by the deadline.,1
Benötigte Unterlagen / Nachweise,Documents and proof required,1
Anzeige einer Nebentätigkeit ohne Gehalt,Declaring unpaid secondary employment,1
"Alle Nebentätigkeiten, mit oder ohne Entgelt sind anzeigepflichtig.","All secondary employment must be declared, whether paid or unpaid.",1
Verlängerung einer befristeten Nebentätigkeit,Extending a fixed period of secondary employment,1
ohne,without,1
gehalt,pay,1
arbeitsvertragliche-pflichten,work-contract-obligations,1
nebenjob,sideline-job,1
nebenbei,on-the-side,1
tätigkeit,employment,1
zusätzliche-tätigkeit,additional-employment,1
interessenkonflikt,conflict-of-interest,1
anzeige,declaration,1
genehmigungspflicht,approval-requirement,1
anzeigepflicht,declaration-requirement,1
Datenschutz und Sicherheit,"Privacy, Data Protection and Security",1
Interne Regelungen zum Datenschutz,Internal privacy and data protection regulations,1
Hinweise und Erläuterungen zu den gesetzlichen Regelungen :,Information and explanatory notes on the statutory provisions:,1
Allgemeine Regelungen,General rules,1
Weitere Regelungen zur IT-Sicherheit und Datenschutz,"Additional rules on IT security, privacy and data protection",1
Rundschreiben,Circulars,1
Mustertexte,Templates,1
Mustertexte können Sie direkt verwenden und anpassen.,You are welcome to take these templates and amend them.,1
Gesetze,Laws,1
Für die Universität Bonn relevante Gesetzgebung zum Datenschutz:,Privacy and data protection legislation relevant to the University of Bonn:,1
Datenschutzgesetz NRW,Data Protection Act of the state of North-Rhine Westphalia (Datenschutzgesetz NRW),1
IT-Sicherheitsportal der Universität Bonn,The University of Bonn’s IT security portal,1
"IT-Sicherheit ist ein Thema, welches die gesamte Hochschule betrifft.",IT security is an issue that affects the whole University.,1
IT-Sicherheitsvorfälle,IT security incidents,1
Das CERT-Team wird u.a. bei folgenden Themen aktiv,The CERT team’s duties include:,1
Behandlung von Sicherheitsvorfällen,Handling security incidents,1
"möglichst schnelle Reaktion bei Vorfällen (z.B. Hackangriffe, Phishing-Angriffe etc.)","Responding to incidents (e.g. hacks, phishing) as quickly as possible",1
im Rahmen des akuten Notfallmanagements Sperrung von Rechnern und Uni-IDs,Blocking computers and Uni-IDs as an urgent emergency management measure,1
Kooperation mit dem DFN-Cert,Liaising with DFN-CERT,1
Mögliche Sicherheitsvorfälle melden Sie bitte hier:,Please report potential security incidents here:,1
E-Mail Antivirus- und Antispam,Email anti-virus and anti-spam,1
Software-E-MailAntivirus-undAntispam,Email anti-virus and anti-spam software,1
Weiterführende Links,Links for more information,1
ZENDAS,ZENDAS (available in German only),1
Datenschutzbeauftragter / IT-Sicherheitsbeauftragter,Data Protection Officer/IT Security Officer,1
Stellvertretender Datenschutzbeauftragter,Deputy Data Protection Officer,1
datenschutzerklärung,privacy-notice,1
Folgende Dienstjubiläen gibt es:,Service anniversaries are marked after:,1
25-jähriges,25 years,1
50-jähriges (nur Beamte),50 years (civil servants only),1
Jubiläumsgeld und Freistellung,Anniversary bonuses and time off work,1
Beschäftigte,Salaried employees,1
Rechtsgrundlage Jubiläumsgeld:,Anniversary bonuses are enshrined in law in,1
Beschäftigte erhalten ein Jubiläumsgeld bei Vollendung einer Beschäftigungszeit,They are paid out to salaried employees as follows:,1
"von 25 Jahren in Höhe von 350 Euro,",€350 after 25 years’ service,1
von 40 Jahren in Höhe von 500 Euro.,€500 after 40 years’ service,1
Teilzeitbeschäftigte erhalten das Jubiläumsgeld in voller Höhe.,Part-time staff are entitled to the full anniversary bonus in each case.,1
Dieser Tag muss zeitnah in Anspruch genommen werden.,which they are required to take without undue delay.,1
Rechtsgrundlage:,Anniversary bonuses are enshrined in law in the,1
bei einer Dienstzeit von 25 Jahren 300 Euro,€300 after 25 years’ service,1
bei einer Dienstzeit von 40 Jahren 450 Euro,€450 after 40 years’ service,1
bei einer Dienstzeit von 50 Jahren 500 Euro,€500 after 50 years’ service,1
Teilzeitbeschäftigte erhalten das Jubiläumsgeld in voller Höhe.,Part-time staff are entitled to the full anniversary bonus in each case,1
25-jähriges DJ: 350 € und an einem Arbeitstag Dienstbefreiung,€350 and one day off work after 25 years’ service,1
50-jähriges DJ: 500 € und an einem Arbeitstag Dienstbefreiung,€500 and one day off work after 50 years’ service,1
Beschäftigungszeit,Length of service for salaried employees,1
Berechnung der Beschäftigungszeit bei Tarifbeschäftigten,Calculating length of service for staff employed under a collective bargaining agreement,1
Arbeitsverhältnisse,Periods of employment:,1
Zeiten eines Sonderurlaubs ohne dass ein betriebliches oder dienstliches Interesse anerkannt wurde,Time spent on special leave unrelated to any operational or official interest,1
die Berufsausbildung,Vocational training,1
Jubiläumsdienstzeiten,Length of service for civil servants,1
Von diesem Grundsatz abweichend sind anzurechnen,"However, the following does count:",1
Anrechnung,counting,1
Beschäftigungszeit,length-of-service,1
Dienstzeit,service,1
Entgelt,remuneration,1
Führung und Zusammenarbeit,Leadership and Working Together,1
Beratung und Coaching für Führungskräfte,Consulting and coaching for managers,1
Neu in der Führungsrolle,Starting out in a leadership role,1
Konflikte im Team,Conflicts within your team,1
Begleitung bei Veränderungsprozessen,Support with processes of change,1
Motivation und Inspiration fürs Team,Motivating and inspiring your team,1
Teamentwicklung,Teambuilding,1
Teamentwicklungen haben das Ziel die Zusammenarbeit aktiv zu gestalten.,Teambuilding is designed to actively shape the working relationship within your team,1
"Hier geht es um Strategieentwicklung, Zusammenarbeit und gemeinsame Ziele.","by focusing on strategy development, cooperation and common goals.",1
Führungskompetenzen ausbauen,Improve your management and leadership skills,1
Modulares Programm für neue Führungskräfte der Universitätsverwaltung,A modular program for new managers working in University administration,1
In der Regel wird das Programm einmal im Jahr angeboten.,The program is generally offered once a year.,1
Basismodule - grundlegende Führungskompetenzen,Basic modules—basic management and leadership skills,1
In den Basismodulen werden grundlegende Führungskompetenzen vermittelt.,The basic modules teach fundamental management and leadership skills.,1
Folgende Themen werden in den Modulen vermittelt:,The modules cover the following topics:,1
Sich selber Führen,Managing yourself,1
Grundlagen zum Thema Führung,Basics of management,1
Teams entwickeln und steuern,Building and managing teams,1
Umgang mit Konflikten im Führungsalltag,Handling everyday conflicts as a manager,1
Führungsdialog mit der Hochschulleitung,Liaising with University management as a manager,1
Optionale Module - gezielter Kompetenzaufbau,Optional modules focusing on improving specific skills,1
Folgende optionale Module werden angeboten:,The following optional modules are offered:,1
Coachingangebot,Coaching,1
Agile Methodensprint,Agile methods sprint,1
Das Mitarbeitergespräch (MAG) der Universität Bonn,Personal development reviews (PDRs) at the University of Bonn,1
Moderation von Veranstaltungen (digital oder Präsenz),Moderating events (virtually or in person),1
Führung in Veränderung,Managing in a time of change,1
N.N.:,TBA:,1
"Haben Sie ein Thema, das Sie gerne bearbeiten möchten?","if there is a topic that you would like to cover,",1
Sprechen Sie uns an!,just let us know!,1
yourTRACK,“yourTRACK”,1
"Qualifizierungsprogramm für Nachwuchsgruppenleitungen, Jun.- und Tenure-Track-Professor*innen","Training program for heads of research groups, assistant professors and tenure-track professors",1
"Qualifizierungsprogramm für Postdocs, wissenschaftlich Beschäftigte mit Daueraufgaben und Wissenschaftsmanager*innen","Training program for postdocs, permanent academic staff and research managers",1
Alle Kurse sind auch auf eines unserer Zertifikate anrechenbar.,All courses can count toward one of our certificates.,1
Trainings und Seminare,Training and seminars,1
Entdecken Sie unser vielfältiges Workshop- und Seminar-Angebot:,Discover our wide range of workshops and seminars:,1
Weiterbildung und Karrierewege als Führungskraft begleiten,Continual professional development and supporting employees’ careers as a manager,1
Qualifizierungsmöglichkeiten,Training opportunities,1
Fachliche Qualifizierungen finden in der Regel bei anderen Anbietern statt.,Subject-specific training is generally held on other providers’ premises.,1
Bezuschussung von beruflicher Weiterentwicklung,Grants for continual professional development,1
Möglichkeiten der Bezuschussung von Fortbildungen für die berufliche Weiterentwicklung,Grants available for advanced training that serves continual professional development,1
Die Kosten müssen vom Arbeitsbereich übernommen werden.,The costs must be borne by the corresponding team.,1
Kriterien für die Höhe der Bezuschussung,How grants are calculated,1
Die Höhe der Bezuschussung richtet sich nach folgenden Kriterien.,The size of a grant is determined by the following criteria:,1
Steigert die Fortbildung die Effektivität und Effizienz im Arbeitsgebiet?,Will the advanced training improve effectiveness and efficiency within the team?,1
Kommt das Wissen direkt dem Arbeitsgebiet zu Gute?,Will the knowledge acquired benefit the team directly?,1
(Die Notwendigkeit sich auf eine Stelle zu bewerben bleibt bestehen.,(The requirement to apply for a vacancy remains unchanged.,1
Talentförderung:,Promoting talent:,1
Qualifizierungsplanung,Planning training,1
Wir empfehlen eine jährliche Planung der Qualifizierungsbedarfe im Arbeitsbereich.,"We would advise teams to plan their training needs once a year,",1
Hierbei müssen auch Teammaßnahmen berücksichtigt werden.,including whole-team measures.,1
Fortbildungsverträge,Advanced training agreements,1
Die Förderung kann zwischen 20% und 90 % betragen.,Between 20 and 90 percent of the costs can be covered.,1
Für die Berechnung erhalten Sie bei Bedarf weitere Informationen.,"If you need more information for calculation purposes,",1
Wenden Sie sich an die im Kontakt genannten Ansprechpersonen.,please get in touch with the people listed under “Contact” below.,1
Mitarbeiter*innengespräch (MAG),Personal development reviews (PDRs),1
Für Mitarbeitende in Technik und Verwaltung,For members of the technical and administrative staff,1
Kontaktanfrage Formular - Mitarbeiter*innengespräch,Contact form PDR form,1
Formular - Mitarbeiter*innengespräch,PDR form,1
Grundsätzliches zum Gespräch,Basic information about the PDR,1
Es dient dazu sich über gemeinsame Perspektiven klar zu werden.,and to establish clarity regarding shared points of view.,1
Dadurch reduziert sich die Anzahl der zu führenden Gespräche.,thus reducing the number of PDRs that need to be held.,1
vertraulich,Confidential,1
strukturiert und gut vorbereitet,Structured and well prepared,1
Zeitumfang ca. 1 Stunde,Around an hour long,1
Verbesserung von Kommunikation und Arbeitsklima,Improving communication and the atmosphere at work,1
"Vorbereitung, Durchführung und Nachbereitung des MAG","Preparing for, holding and following up a PDR",1
Für Mitarbeitende,For employees,1
Für die Vorbereitung können Sie sich folgende Fragen stellen:,You can ask yourself these questions to help you prepare:,1
Welche Aufgaben haben Sie aktuell?,What are your current duties?,1
Hat sich im Vergleich zum letzten Jahr etwas verändert?,Has anything changed since last year?,1
Was wurde im letzten MAG vereinbart?,What did you agree in your last PDR?,1
Was möchten Sie dem/der Vorgesetzten an Feedback geben?,What sort of feedback would you like to give your line manager?,1
Wie ist die aktuelle Situation - auch zwischenmenschlich?,"What is the current situation like, including on a personal level?",1
Was sind mögliche Ziele für das kommende Jahr?,What are some potential objectives and targets for the coming year?,1
Durchführung,The PDR itself,1
Nehmen Sie Ihre Notizen mit in das Gespräch,Take your notes with you into the meeting.,1
"Was ist hinzugekommen, was weggefallen?",Which new ones have you taken on? Which ones have you lost?,1
Wie hat sich das auf Ihre vereinbarten Ziele ausgewirkt?,How has this impacted your agreed objectives and targets?,1
"Geben Sie zu den Dialogthemen Feedback, die Ihnen wichtig erscheinen",Give feedback on the discussion topics that you feel are important.,1
Beachten Sie dabei die Feedbackregeln (siehe Leitlinien),Follow the rules on feedback (see guidelines).,1
"Wünsche, Fortbildungsbedarf oder ähnliches besprechen","Discuss your wishes, advanced training needs or similar.",1
Nachbereitung,Follow-up,1
Getroffene Vereinbarungen schriftlich festhalten,Make a written record of any agreements that you reached.,1
Vereinbarte Maßnahmen umsetzen,Take the action agreed.,1
Gespräch reflektieren - Gibt es noch Klärungsbedarf?,Reflect on the meeting—does anything still need clarifying?,1
Sind Sie zufrieden mit dem Gespräch?,Are you satisfied with how your PDR went?,1
Für Führungskräfte,For managers,1
Organisatorisches:,Organizational matters:,1
"Raum, Getränke, Dokumentation/Protokollführung","room, drinks, documentation/minuting",1
Um wen geht es?,Who will you be seeing?,1
Was macht den/die MA aus?,What are their distinguishing features?,1
Welche Aufgaben hat der/die MA?,What are their duties?,1
Was ist Ihr Ziel bei dem Gespräch?,What do you want to get out of the meeting?,1
Was wollen Sie dem/der MA vermitteln?,What do you want to teach the employee?,1
Was möchten Sie von dem/der MA wissen?,What would you like to find out from the employee?,1
Was möchten Sie dem/der MA mitteilen?,What do you want to communicate to the employee?,1
Warm Up - Verbindung zu dem/der MA herstellen,Warm-up—establish a connection with the employee.,1
Faktoren des Gelingens benennen:,List the factors that make for a successful discussion:,1
"Offenheit, Vertraulichkeit, Dialog","openness, confidentiality, dialogue.",1
Erläuterung des Sinnes eines MAG als Einstieg; auf Transparenz achten,Start by explaining the purpose of a PDR; ensure transparency.,1
Inhalt/Struktur des Gesprächs erläutern,Explain the content/structure of the meeting.,1
Feedbackregeln:,Rules of feedback:,1
"Wünsche, Fortbildungsbedarf oder ähnliches erfragen","Ask them about their wishes, advanced training needs or similar.",1
Zusammenfassung des Gesprächs,Summarize your discussion.,1
Verabschiedung,Say goodbye.,1
Gesprächsnotizen ergänzen,Supplement your notes from the PDR.,1
Getroffene Vereinbarungen festhalten,Make a record of agreements that you reached.,1
Gespräch reflektieren (Gibt es noch Klärungsbedarf?,Reflect on the meeting (does anything still need clarifying?,1
Sind Sie zufrieden mit dem Gespräch?),Are you satisfied with how the PDR went?).,1
Beschäftigte Person *,Employee *,1
Name der Führungskraft *,Name of manager *,1
Gesprächsdatum *,Date of review *,1
Arbeitsbereich *,Where do you work? *,1
Dezernat 9,Division 9,1
"Rektor, Kanzler, Stabstellen des Kanzlers","Rector, Provost, units reporting to the Provost",1
"Bei Auswahl ""Sonstiges""",If “Other” selected,1
Bitte Arbeitsbereich eintragen,Please specify the team you work in.,1
Fragen und Anregungen zum MAG u.a.,Questions and suggestions about the PDR or similar,1
Mitarbeiter*innen in Technik & Verwaltung,Administrative and technical staff,1
E-Mail senden an Susanne Brandt,Email Susanne Brandt,1
Stellv. Leitung/Teamleitung Qualifizierung und digitale Projekte,Deputy Director/Team Lead Training & Digital Projects,1
"Stabstelle Personalentwicklung, Organisationsentwicklung & Gesundheitsmanagement","Human Resource Development, Organizational Development and Health Management",1
"Poppelsdorfer Allee 31 - 33, 53115 Bonn","Poppelsdorfer Allee 31–33, 53115 Bonn, Germany",1
Wissenschaftliche Mitarbeiter*innen,Academic staff,1
E-Mail senden an Julia Küchel,Email Julia Küchel,1
+49 228 73 - 68772,+49 228 73-68772,1
Leitung Team Personalentwicklung Wissenschaft,Team Lead Human Resource Development—Academic Staff,1
"Stabsstelle Personalentwicklung, Organisationsentwicklung & Gesundheitsmanagement","Human Resource Development, Organizational Development and Health Management",1
Poppelsdorfer Allee 31/33,Poppelsdorfer Allee 31–33,1
Außerdem zahlt das LBV die Gehälter aus.,The LBV NRW is also responsible for paying salaries.,1
Bezügemitteilung,Bezügemitteilungen,1
Erhalt der Bezügemitteilung,Receiving your Bezügemitteilung,1
Die Versandtermine finden Sie hier,A list of mailing dates is given here (available in German only),1
Die Versandtermine finden Sie hier,A list of mailing dates is given here,1
Das Personalmanagement ist hierzu nicht befugt.,Human Resources does not have the power to do this.,1
LBV Personalnummer,LBV NRW staff ID number,1
Entgelt für Tarifbeschäftigte,Pay for staff employed under a collective bargaining agreement,1
Innerhalb der Entgeltgruppe bemisst sich das Entgelt nach Entgeltstufen.,Each pay grade is subdivided into pay bands.,1
Hier finden Sie die Entgelttabellen TV-L,You can find the pay tables under the TV-L here,1
Die neuen Entgelttabellen finden Sie unter dem o.a. Link.,Click on the link above to view the new pay tables.,1
Bis dahin gilt weiterhin die letzte gültige Entgelttabelle.,"Until then, the most recent valid pay table will continue to apply.",1
Berechnung der Arbeitgeberkosten für Tarifbeschäftigte,Calculating the employer’s costs for staff employed under a collective bargaining agreement,1
Personalkostenhochrechnungen für den Haushalt,Staffing costs forecasts for the budget,1
Personalkostenhochrechnung für Drittmittelprojekte,Staffing costs forecast for third-party-funded projects,1
Gehalt von wissenschaftlichen und studentischen Hilfskräften,Pay for research and student assistants,1
WHF,Graduate student assistants,1
WHK,Research assistants,1
Berechnung der Arbeitgeberkosten für Hilfskräfte,Calculating the employer’s costs for assistants,1
Hier finden Sie das Berechnungsprogramm für die Arbeitgeberkosten.,You can find the program for calculating employer’s costs here.,1
Übersicht Bruttogehalt Hilfskräfte,Overview of assistants’ gross pay,1
Vermögenswirksame Leistungen (VL),Accumulated capital benefits,1
Die Höhe des Arbeitgeberanteils,Employer’s contribution,1
Vollbeschäftigte erhalten monatlich 6.65 Euro VL.,Full-time employees receive €6.65 a month in accumulated capital benefits.,1
Beantragung vermögenswirksamer Leistungen,Requesting accumulated capital benefits,1
Von dort wird die Zahlung dann veranlasst.,for the benefits to be paid out.,1
Vermögenswirksame Leistungen während einer Erkrankung,Accumulated capital benefits during a period of illness,1
Hierzu reicht die Zahlung eines Krankengeldzuschusses aus.,even if this is just supplementary sick pay.,1
Jahressonderzahlung,Annual special payment,1
Auszahlung der Jahressonderzahlung,Making the annual special payment,1
Höhe der Jahressonderzahlung,Size of the annual special payment,1
Tabelle Jahressonderzahlung,Annual special payment table (available in German only),1
Tabelle Jahressonderzahlung,Annual special payment table,1
Dies gilt nicht für,This does not apply to:,1
Beschäftigungsverbote nach dem Mutterschutzgesetz,Being signed off work under the Maternity Protection Act (MuSchG),1
Stufen der Entgeltgruppe,Bands within a pay grade,1
Stufenfestlegung,Determining bands,1
Stufenlaufzeiten,Time served in each band,1
"So geht es weiter, bis die Endstufe Stufe 6 erreicht ist.","and so on until they get to the final band, band 6.",1
Danach folgen keine weiteren Stufen mehr.,There are no more bands beyond this.,1
Man steigt auch nicht in die nächste Entgeltgruppe auf.,Neither do staff move up automatically to the next pay grade;,1
Dies ist nur durch eine Höhergruppierung möglich.,this can only be done via a pay grade upgrade,1
(siehe Punkt Höhergruppierung).,(see “Pay grade upgrade” below).,1
Einschlägige Berufserfahrung,Relevant professional experience,1
Die Stufe beginnt dann von neuem.,The count then starts again from scratch.,1
Stufenlaufzeiten übernehmen,Carrying over time served in a current band,1
Veränderungen von Stufenlaufzeiten,Changes to periods of time served in a current band,1
Elternzeit (ohne Teilzeitbeschäftigung),Parental leave (without any part-time employment),1
Rückstufung,Moving down a band,1
Hier beginnt die Stufenlaufzeit dann von vorne.,Their count will then begin again from scratch.,1
Höhergruppierung,Pay grade upgrade,1
Begründung einer Höhergruppierung,Justifying a pay grade upgrade,1
Antrag auf Höhergruppierung,Request for a pay grade upgrade,1
Mindestens werden sie jedoch in Stufe 2 eingestuft.,but no lower than band 2.,1
Garantiebeträge,Guaranteed amounts,1
Vorübergehende Übertragung einer höherwertigen Tätigkeiten,Being assigned higher-level responsibilities temporarily,1
Die Höhe der Zulage bemisst sich wie folgt:,This bonus is calculated as follows:,1
Beschäftigte im Niedriglohnbereich,Employees in marginal employment,1
Wichtiges,N.B.:,1
Durch einen 520-Euro-Job ist man nicht krankenversichert.,"A mini-job does not attract health insurance cover,",1
Damit besteht auch kein Anspruch auf Krankengeld.,meaning that there is no entitlement to sick pay either.,1
Sie müssen also auf jeden Fall anderweitig krankenversichert sein.,It is therefore vital to take out your own health insurance.,1
In anderen Fällen können Sie sich freiwillig versichern.,"Otherwise, you can take out voluntary insurance,",1
Als Minijobber unterliegt man der Rentenversicherungspflicht.,"Although holders of mini-jobs are subject to pension insurance obligations,",1
Entgeltumwandlung,Deferred compensation,1
Vorteile für Arbeitnehmer,Advantages for the employee,1
Attraktive Steuervorteile,Attractive tax benefits,1
Ersparnis bei den Sozialabgaben,Savings on social security contributions,1
"Geringer Nettoaufwand, höherer Sparanteil","Low net expenditure, larger savings component",1
Lebensstandard im Alter sichern,Safeguard your standard of living in old age,1
Kapitalwahlrecht,Option to draw a lump sum,1
Mitnahme der betrieblichen Altersvorsorge bei Arbeitsplatzwechsel,Take your occupational pension scheme with you if you change jobs,1
kein Einfluss auf die Höhe des Bürgergeldes,No impact on how much Citizens’ Basic Income you might receive,1
Individuelle Beitragshöhe,Individual contribution amount,1
Lebenslange Rentenleistung,Lifelong annuity,1
Nutzen der günstigen Konditionen des öffentlichen Dienstes- auch nach Ausscheiden,Enjoy favorable public-sector terms even after retirement,1
Optimale Ausschöpfung der staatlichen Förderwege entsprechend Ihrer familiären Situation:,Make the most of government support in line with your family situation:,1
Entgeltumwandlung und/oder Riesterrente,deferred compensation and/or Riester pension,1
Keine Gesundheitsprüfung bei Vertragsabschluss,No health check when signing the contract,1
Entgeltumwandlung beantragen,Request deferred compensation,1
Die entsprechende Vereinbarung können auf der Website der VBL heruntergeladen werden.,The relevant agreement can be downloaded from the VBL website.,1
"Überstunden, Mehrarbeit, Rufbereitschaft etc.","Overtime, extra hours, on-call duty, etc.",1
Nicht alle Überstunden sind auszahlungsfähige Überstunden.,Not all overtime entitles you to payment.,1
Hierzu setzt sich die vorgesetzte Person mit dem Personalmanagement in Verbindung.,at the request of the line manager.,1
Auszahlung von Überstunden,Getting paid for overtime,1
Das Personalmanagement weist die Zahlung beim LBV an.,who instruct the LBV NRW to make the payment accordingly.,1
Zeitpunkt der Auszahlung von Überstunden,Timing of overtime payments,1
Mehrarbeit,Extra hours,1
Bei Bedarf berät Sie das Personalmanagement gerne.,Human Resources will be glad to advise you if need be.,1
Rufbereitschaft,On-call duty,1
Bitte downloaden Sie es zur korrekten Verwendung.,Please download it so that you can use it correctly.,1
"Änderung der Bezüge, durch z.B. Höhergruppierung, Zulagen etc.","Changes to earnings due to a pay grade upgrade, bonuses, etc.",1
"Hierbei ist zu beachten, dass es eine Ausschlussfrist gibt.",Note that there is a cut-off period.,1
Gehaltsänderungen auf der Abrechnung,Changes to pay on your payslip,1
Ausschlussfrist,Cut-off period,1
Alle Infos hierzu finden Sie unter dem Thema Rente.,You can find all the relevant information on the page about pensions.,1
Kontakt zum Landesamt für Besoldung und Versorgung (LBV),Contacting the LBV NRW,1
Verdienstbescheinigung für wohnrechtliche Zwecke,Confirmation of earnings for purposes under housing law,1
Erklärung über die Fortdauer bzw. das Ende der Berufsausbildung,Statement confirming the continuation or end of vocational training,1
Erklärung zum Ausbildungsverhältnis und den daraus erzielten Einkünften,Statement of apprenticeship status and the income earned therefrom,1
Elster-Lohnsteuerbescheinigung,ELSTER employment tax statement,1
Auch weitere Bescheinigungen bezüglich des Entgelts kann man über das Kontaktformular anfordern.,Other pay-related confirmations can also be requested via the contact form.,1
Serviceformular Personalmanagement,Human Resources service form,1
Personalnummer,staff ID number,1
tel://+49 211 6023 04,tel://+49 211 6023-04,1
Wir beraten Sie gerne zu Ihren Möglichkeiten.,We will be happy to advise you on your options.,1
Karrierewege für Akademiker*innen,Career tracks for academics,1
Doctorate plus,“Doctorate plus”,1
Qualifizierungsprogramm für Promovierende,Training program for doctoral students,1
"Research, Research Management und Business and Organisations.","Research, Research Management, and Business and Organizations.",1
MeTra-Mentoring,“MeTra”,1
Mentoring- und Training-Programm für Wissenschaftlerinnen,Mentoring and training program for female researchers,1
Karriereberatung Universitätsverwaltung,Careers advice for University administration,1
Die erste Ansprechperson ist die Führungskraft.,Speak to your manager first of all.,1
Aufstiegslehrgang für Verwaltungsfachangestellte,Upskilling course for administrative specialists,1
Der Teilnahme wird ein interner Auswahlprozess vorausgehen.,"Participation will be decided through an internal selection process,",1
Es steht eine begrenzte Anzahl an Plätzen zur Verfügung.,as a limited number of spaces are available.,1
H2 Lehrgang der WWU Münster,H2 course at the University of Münster,1
Abschluss:,Qualification:,1
Fachwirt*in für Hochschulmanagement.,Fachwirt*in für Hochschulmanagement (higher-education management specialist),1
Alle Informationen finden Sie hier:,You can find all the information at,1
Januar 2025,January 2025,1
A2 Lehrgang des Rheinischen Studieninstitus,A2 course at the Rheinisches Studieninstitut,1
Verwaltungsfachwirt*in.,Verwaltungsfachwirt*in (administrative specialist),1
Nach erfolgreicher Teilnahme am Auswahlverfahren kann man sich zum nächsten,"If chosen by the selection process, accepted candidates can then register",1
Starttermin anmelden.,for the next start date.,1
Dieser steht zum jetzigen Zeitpunkt noch nicht fest.,This has not yet been announced.,1
Auswahlverfahren,Selection procedure,1
Das Auswahlverfahren findet am 24.4. und am 25.04. statt.,The selection procedure will be run on April 24 and 25,1
Karrierewege Technik & Verwaltung,Career paths in technical and administrative roles,1
Karrierewege innerhalb & außerhalb der Wissenschaft,Career paths in and outside academia,1
Karrierewege in Wissenschaft und Wissenschaftsmanagement,Career paths in academia and research management,1
Personalentwicklung,human-resource-development,1
Personalentwicklungwissenschaft,human-resource-development-academia,1
Qualifizierungsangebote,training-courses,1
Führungskompetenzen,leadership-skills,1
Karrierewege,career-paths,1
Qualifizierungsprogramm,training-program,1
